0cpuMISC,0gpuMISC
90.6999999999999,7.999999999999975
93.0999999999999,7.899999999999975
95.9999999999999,7.999999999999974
90.6999999999999,7.949999999999974
76.6999999999999,7.999999999999975
88.6999999999999,7.949999999999974
95.0999999999999,7.999999999999975
95.9999999999999,7.499999999999974
70.8999999999999,7.999999999999975
94.8999999999999,7.999999999999974
95.0999999999999,7.999999999999974
91.0999999999999,7.8999999999999755
86.1999999999999,7.999999999999977
72.6999999999999,7.999999999999977
95.09999999999991,7.899999999999976
81.19999999999989,7.999999999999977
90.89999999999989,7.999999999999979
87.19999999999989,7.9999999999999805
70.89999999999989,7.99999999999998
95.09999999999988,7.99999999999998
92.49999999999987,7.9999999999999805
76.89999999999988,7.999999999999982
89.39999999999986,7.999999999999981
92.39999999999986,7.999999999999982
82.49999999999986,7.999999999999981
82.89999999999986,7.999999999999982
90.89999999999986,7.999999999999981
94.39999999999986,7.999999999999982
74.49999999999986,7.999999999999981
93.39999999999986,7.999999999999982
62.399999999999864,7.999999999999982
93.59999999999985,6.849999999999982
84.19999999999985,7.999999999999981
95.39999999999985,7.9999999999999805
88.89999999999984,7.999999999999982
92.19999999999983,7.999999999999982
78.69999999999983,7.9499999999999815
91.39999999999984,7.949999999999982
90.19999999999983,7.999999999999981
94.89999999999984,7.949999999999981
92.69999999999983,7.99999999999998
95.39999999999984,7.949999999999978
86.19999999999983,7.999999999999979
95.59999999999982,7.7999999999999785
80.69999999999982,7.999999999999979
95.09999999999981,7.949999999999978
86.19999999999982,7.999999999999978
95.39999999999982,7.949999999999976
86.1999999999998,7.999999999999977
93.0999999999998,7.949999999999976
86.19999999999979,7.999999999999976
95.59999999999978,7.449999999999974
90.69999999999979,7.999999999999974
95.59999999999978,7.449999999999973
95.99999999999979,7.949999999999973
95.09999999999978,7.949999999999971
95.99999999999977,7.949999999999971
95.59999999999977,7.2999999999999705
95.99999999999976,7.949999999999969
95.59999999999975,6.799999999999967
95.99999999999976,7.949999999999967
95.59999999999975,6.549999999999967
95.99999999999976,5.199999999999967
95.59999999999975,7.299999999999967
95.99999999999976,5.1999999999999655
95.59999999999975,7.299999999999965
95.99999999999976,5.199999999999964
