time_instant,node_0_initial_gpu,node_0_used_gpu,node_0_initial_cpu,node_0_used_cpu,node_0_initial_bw,node_0_used_bw,node_0_gpu_type,node_1_initial_gpu,node_1_used_gpu,node_1_initial_cpu,node_1_used_cpu,node_1_initial_bw,node_1_used_bw,node_1_gpu_type,node_2_initial_gpu,node_2_used_gpu,node_2_initial_cpu,node_2_used_cpu,node_2_initial_bw,node_2_used_bw,node_2_gpu_type,node_3_initial_gpu,node_3_used_gpu,node_3_initial_cpu,node_3_used_cpu,node_3_initial_bw,node_3_used_bw,node_3_gpu_type,node_4_initial_gpu,node_4_used_gpu,node_4_initial_cpu,node_4_used_cpu,node_4_initial_bw,node_4_used_bw,node_4_gpu_type,node_5_initial_gpu,node_5_used_gpu,node_5_initial_cpu,node_5_used_cpu,node_5_initial_bw,node_5_used_bw,node_5_gpu_type,node_6_initial_gpu,node_6_used_gpu,node_6_initial_cpu,node_6_used_cpu,node_6_initial_bw,node_6_used_bw,node_6_gpu_type,node_7_initial_gpu,node_7_used_gpu,node_7_initial_cpu,node_7_used_cpu,node_7_initial_bw,node_7_used_bw,node_7_gpu_type
54,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
55,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
56,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
57,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
58,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
59,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
60,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
61,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
62,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
63,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
64,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
65,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
66,8,0,96,0,100000000000,0,MISC,8,1.0,96,18.0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
67,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
68,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
69,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
70,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
71,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC,8,0,96,0,100000000000,0,MISC
